num,symbol,number,row,group,atomic_mass,molar_volume,atomic_radius,ionic_radius,covalent_radius,van_der_waals_radius,electron_negativity,electron_affinity,electrical_resistivity,thermal_cond,boiling_point,melting_point,Tc,enthalpy_of_fusion,first_ionization_energy,second_ionization_energy,s,p,d,f,Omax,Omin,valance,block,electron_shell,metal,noble_gas,alkali_metal,rare_earth_metal,Over_metal,Lanthanide_metals,actinoid,Halogen,alkaline,poissons_ratio,bulk_modulus,youngs_modul,rigidity_modul,thermal_expansion
103,Rf,104,7,4,267,16,0,0,1.57,0,0,0,0,23,0,0,0,0,579,,2,0,2,14,,,4,d,2.8.18.32.32.10.2,1,0,0,,1,0,0,0,,,Gpa,GPa,GPa,K^-1
104,Db,105,7,5,268,12,0,0,1.49,0,0,0,0,58,0,0,0,0,0,,2,0,3,14,,,5,d,2.8.18.32.32.11.2,1,0,0,,1,0,0,0,,,,,,
105,Sg,106,7,6,269,12,0,0,1.43,0,0,0,0,19,0,0,0,0,0,,2,0,4,14,,,6,d,2.8.18.32.32.12.2,1,0,0,,1,0,0,0,,,,,,
106,Bh,107,7,7,270,10,0,0,1.41,0,0,0,0,0,0,0,0,0,0,,2,0,5,14,,,7,d,2.8.18.32.32.13.2,1,0,0,,1,0,0,0,,,,,,
107,Hs,108,7,8,269,10,0,0,1.34,0,0,0,0,0,0,0,0,0,0,,2,0,6,14,,,,d,2.8.18.32.32.14.2,1,0,0,,1,0,0,0,,,,,,
108,Mt,109,7,9,278,10,0,0,1.29,0,0,0,0,0,0,0,0,0,0,,2,0,7,14,,,,d,2.8.18.32.32.15.2,,,,,,,,,,,,,,
109,Ds,110,7,10,281,10,0,0,1.28,0,0,0,0,0,0,0,0,0,0,,1,0,9,14,,,,d,2.8.18.32.32.17.1,,,,,,,,,,,,,,
110,Rg,111,7,11,280,12,0,0,1.21,0,0,0,0,0,0,0,0,0,0,,1,0,10,14,,,,d,2.8.18.32.32.18.1,,,,,,,,,,,,,,
111,Cn,112,7,12,285,17,0,0,1.22,0,0,0,0,0,0,0,0,0,0,,2,0,10,14,,,,d,2.8.18.32.32.18.2,,,,,,,,,,,,,,
112,Nh,113,7,13,286,18,0,0,1.36,0,0,0,0,0,0,0,0,0,0,,2,1,10,14,,,,p,2.8.18.32.32.18.3,,,,,,,,,,,,,,
113,Fl,114,7,14,289,21,0,0,1.43,0,0,0,0,0,0,0,0,0,0,,2,2,10,14,,,,p,2.8.18.32.32.18.4,,,,,,,,,,,,,,
114,Mc,115,7,15,289,22,0,0,1.62,0,0,0,0,0,0,0,0,0,0,,2,3,10,14,,,,p,2.8.18.32.32.18.5,,,,,,,,,,,,,,
115,Lv,116,7,16,293,26,0,0,1.75,0,0,0,0,0,0,0,0,0,0,,2,4,10,14,,,,p,2.8.18.32.32.18.6,,,,,,,,,,,,,,
116,Ts,117,7,17,294,41,0,0,1.65,0,0,0,0,0,0,0,0,0,0,,2,5,10,14,,,,p,2.8.18.32.32.18.7,,,,,,,,,,,,,,
117,Og,118,7,18,294,52,0,0,1.57,0,0,5.403,0,0.023,0,0,0,0,0,,2,6,10,14,,,,p,2.8.18.32.32.18.8,,,,,,,,,,,,,,
